name,age,years_played,games_played,avg_rec,std_rec,avg_tgt,std_tgt,avg_yds,std_yds,avg_ypr,std_ypr,avg_lg,std_lg,avg_TD,std_TD,avg_rush,std_rush,avg_ryds,std_ryds,avg_rypa,std_rypa,avg_rlg,std_rlg,avg_rTD,std_rTD,TM TGT %,ADP,class
alvin-kamara,24,3,15,5.533333333333333,3.461534662865912,7.133333333333334,3.667272677193351,50.4,39.94796615598846,7.540000000000001,4.5230962846262734,21.4,15.810545004310677,0.3333333333333333,0.5962847939999438,12.466666666666667,3.8792897402603077,62.13333333333333,32.85902548091705,4.9399999999999995,1.9420950886435333,20.4,12.574047346286982,1.0666666666666667,1.4817407180595248,20.5,3.0,0
dalvin-cook,24,3,14,3.142857142857143,1.5518257844571737,3.857142857142857,1.8844151368961313,25.785714285714285,19.16163790877332,8.7,8.245864764491698,15.142857142857142,12.466281051913846,0.07142857142857142,0.25753937681885636,22.285714285714285,6.180945043652553,111.21428571428571,46.2279732435252,5.0,1.6962142721787414,21.714285714285715,15.8719364712356,1.1428571428571428,0.832993127835043,10.5,2.0,1
derrick-henry,26,4,16,1.1875,0.9499177595981665,1.9375,1.3448396744593758,7.125,12.559234650248397,4.03125,6.414019678602491,6.25,12.497499749949988,0.0,0.0,23.625,4.858947931394202,126.6875,57.2185707943671,5.275,1.8806581294855267,27.8125,20.96788839511504,1.0625,0.9662265521087692,0.6,4.0,1
david-montgomery,23,1,15,3.6,2.1228911104120876,4.533333333333333,1.9955506062794355,29.2,14.97642591986931,9.173333333333334,3.8747845818258795,14.733333333333333,5.697562831792399,0.13333333333333333,0.339934634239519,16.466666666666665,5.863635580612272,71.33333333333333,32.90525118511566,4.486666666666666,2.2641751011988647,21.733333333333334,20.66064428381221,0.5333333333333333,0.7180219742846006,11.4,34.0,2
aaron-jones,25,3,14,3.357142857142857,1.2309777099724346,4.5,1.5,25.357142857142858,18.132871267622324,6.95,4.05334958486717,13.214285714285714,7.379300890508061,0.14285714285714285,0.34992710611188266,14.357142857142858,3.0380243311623913,78.85714285714286,41.48641282371364,5.32142857142857,2.3142967371871532,28.857142857142858,23.724180379812438,0.6428571428571429,0.6102859818083952,12.4,10.0,1
jonathan-taylor,21,0,15,2.4,1.4966629547095764,2.6666666666666665,1.4452988925785866,19.933333333333334,19.478078846630524,6.98,4.580131002493269,12.6,11.400584780323038,0.06666666666666667,0.24944382578492943,15.466666666666667,6.601683287027803,77.93333333333334,58.39345473214918,4.606666666666667,1.8357438698128765,19.866666666666667,16.239321277552072,0.7333333333333333,0.7717224601860151,0.7,11.0,2
josh-jacobs,22,1,15,2.2,1.3759844960366863,3.0,1.505545305418162,15.866666666666667,13.370946945606441,5.526666666666667,3.8142656203025798,8.733333333333333,7.451770855903238,0.0,0.0,18.2,6.685307272918227,71.0,28.71004469983749,3.913333333333333,1.0436261569908813,15.533333333333333,5.52408866289776,0.8,0.9797958971132713,8.2,40.0,2
ezekiel-elliott,24,4,15,3.466666666666667,2.3907228102721474,4.733333333333333,2.8859814429217816,22.533333333333335,15.91589003340861,7.26,2.7182837722847606,11.333333333333334,4.0276819911981905,0.13333333333333333,0.339934634239519,16.266666666666666,3.991101212558871,65.26666666666667,24.825972063322897,3.9333333333333327,0.8291896981725929,14.933333333333334,6.577402391690979,0.4,0.6110100926607788,11.1,8.0,0
kareem-hunt,24,3,16,2.375,1.4523687548277813,3.1875,1.775484088917724,19.0,18.445866745696716,6.6625,4.06830354693452,10.3125,6.834825802461976,0.3125,0.46351240544347894,12.375,4.414110895752394,52.5625,26.61993789906355,4.3125,1.8620804896674041,14.6875,7.3034131575585945,0.375,0.5994789404140899,10.9,58.0,0
nick-chubb,24,2,12,1.3333333333333333,1.4337208778404378,1.5,1.3228756555322954,12.5,13.187746838132231,6.6499999999999995,7.146269423039315,7.666666666666667,7.749551958375114,0.0,0.0,15.833333333333334,4.561310727801336,88.91666666666667,35.70120990791333,5.591666666666666,1.5580213591461305,30.333333333333332,14.452988925785867,1.0,0.7071067811865476,1.8,12.0,1
mike-davis-rb,27,5,15,3.933333333333333,2.768071932270226,4.666666666666667,2.981423969999719,24.866666666666667,21.80173285671475,5.266666666666667,3.358306451505315,10.8,7.386474125047755,0.13333333333333333,0.3399346342395189,11.0,6.099180272790763,42.8,28.095551249263647,3.373333333333334,1.581757110164375,10.4,6.750802421440975,0.4,0.6110100926607788,12.7,67.0,0
antonio-gibson,22,0,14,2.5714285714285716,1.6781914463529615,3.142857142857143,1.8844151368961315,17.642857142857142,20.74886276696747,5.421428571428572,5.561369123751115,10.5,10.397458480664534,0.0,0.0,12.142857142857142,5.097017935688935,56.785714285714285,33.52435909993246,4.628571428571428,1.3687473790861127,16.785714285714285,9.864645178099206,0.7857142857142857,0.8601138984851641,0.5,16.0,2
